X,Y,t_id,einbaujahr,name_nummer,art,art_code,nennweite,typ,bemerkung,lagebestimmung,lagebestimmung_code,hoehenbestimmung,hoehenbestimmung_code,druckzone,druckzone_bemerkung,hoehe,symbolori,zustand,icon_url
7.60324572205,46.1783447934815,"27","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1469.63,360,unbekannt/inconnue,./0.png
7.60324353646908,46.1783414592859,"28","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1469.55,360,unbekannt/inconnue,./0.png
7.60323643784095,46.1782933431534,"29","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1468.37,360,unbekannt/inconnue,./0.png
7.60323810491709,46.1782663449586,"30","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1467.63,360,unbekannt/inconnue,./0.png
7.60323699529916,46.178259078128,"31","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1467.48,360,unbekannt/inconnue,./0.png
7.60321886316832,46.1781849897246,"32","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1465.57,360,unbekannt/inconnue,./0.png
7.60328702665748,46.1777875783059,"33","1900",,vanne hydrant,"6","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1456.41,360,unbekannt/inconnue,./0.png
7.60323894883653,46.1777960542649,"34","1900",,vanne de tronçon,"7","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1456.42,254.8,unbekannt/inconnue,./0.png
7.60319808008948,46.1777199296752,"35","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1456.04,360,unbekannt/inconnue,./0.png
7.60322138408195,46.1776923063991,"36","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1455.47,360,unbekannt/inconnue,./0.png
7.60302092750632,46.1778962031677,"37","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1456.16,360,unbekannt/inconnue,./0.png
7.60285606619315,46.1780373227555,"38","1900",,vanne de tronçon,"7","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,0,222.4,unbekannt/inconnue,./0.png
7.60553436509066,46.1786483357668,"39","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,0,360,unbekannt/inconnue,./0.png
7.605534959596,46.1781507885613,"40","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1544.37,224.5,unbekannt/inconnue,./0.png
7.60607887768089,46.1785205968722,"41","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1551.3,279.7,unbekannt/inconnue,./0.png
7.60607222805706,46.1785227476343,"42","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1551.09,360,unbekannt/inconnue,./0.png
7.62533642640402,46.1339049311155,"43","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1655.21,360,unbekannt/inconnue,./0.png
7.62821745077314,46.1319812843417,"44","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1680.91,360,unbekannt/inconnue,./0.png
7.62826988689141,46.1317781305444,"45","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1681.32,360,unbekannt/inconnue,./0.png
7.62824620111284,46.1317571475263,"46","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,0,360,unbekannt/inconnue,./0.png
7.62838941435979,46.131591299308,"47","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,0,360,unbekannt/inconnue,./0.png
7.62840434489086,46.1315724285805,"48","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,0,360,unbekannt/inconnue,./0.png
7.62843493353957,46.1315318343045,"49","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,0,360,unbekannt/inconnue,./0.png
7.62796147364535,46.1323977215665,"50","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1680.11,360,unbekannt/inconnue,./0.png
7.62790401738837,46.1326126588167,"51","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,1680.47,360,unbekannt/inconnue,./0.png
